match_id,player_id,time_in_pool,goals,shots,assists,steals,blocks,turnovers,rebounds,sprints,hustle,draws,penalties,exclusions,player_name,performance_score
1,1,21.0,3,7,3,1,1,1,2,4,3,3,0,2,Player 1 (UCD),73.3
1,3,23.0,0,1,0,0,2,1,1,4,0,0,1,0,Player 3 (UCD),12.0
1,4,21.0,4,9,1,3,0,0,0,1,1,0,1,1,Player 4 (UCD),52.7
1,5,15.0,0,8,2,2,0,3,3,5,1,3,1,1,Player 5 (UCD),46.8
1,6,11.0,1,7,0,3,2,0,3,6,3,1,0,2,Player 6 (UCD),49.1
1,8,11.0,2,3,0,1,0,1,0,3,3,2,0,0,Player 8 (UCD),58.4
1,9,25.0,1,9,1,2,2,0,1,3,0,1,1,0,Player 9 (UCD),38.6
1,10,20.0,2,3,1,0,1,0,1,2,0,0,0,1,Player 10 (UCD),49.3
1,11,17.0,2,8,2,1,1,3,2,3,0,1,1,2,Player 11 (UCD),48.9
1,12,14.0,0,3,0,2,0,1,1,1,1,2,0,0,Player 12 (UCD),29.5
2,1,22.0,1,3,3,0,0,0,1,3,0,3,0,2,Player 1 (UCD),50.8
2,2,11.0,3,8,0,1,0,0,1,1,0,0,1,0,Player 2 (UCD),35.7
2,3,20.0,4,9,2,2,0,2,3,5,2,3,0,1,Player 3 (UCD),72.8
2,5,12.0,1,1,2,0,0,2,1,0,1,3,0,0,Player 5 (UCD),54.0
2,7,10.0,2,9,0,1,0,1,1,3,3,3,1,1,Player 7 (UCD),42.3
2,8,18.0,2,3,2,3,0,1,1,0,1,1,1,2,Player 8 (UCD),67.5
2,10,15.0,0,0,2,2,1,1,3,5,1,1,0,2,Player 10 (UCD),44.3
2,12,28.0,0,9,2,1,0,2,0,0,2,1,0,0,Player 12 (UCD),24.2
3,2,17.0,0,3,0,2,0,1,3,4,1,3,1,2,Player 2 (UCD),36.1
3,4,18.0,3,8,1,1,0,1,1,2,3,1,1,0,Player 4 (UCD),53.2
3,5,15.0,3,7,1,3,1,3,0,6,3,1,0,0,Player 5 (UCD),61.7
3,6,10.0,3,4,2,1,1,2,2,2,0,3,1,1,Player 6 (UCD),70.1
3,7,27.0,1,1,1,3,2,1,2,4,2,3,1,2,Player 7 (UCD),79.0
3,8,26.0,0,2,0,1,1,2,3,2,3,2,1,0,Player 8 (UCD),34.4
3,10,19.0,1,1,1,3,2,1,2,2,0,3,0,1,Player 10 (UCD),74.3
4,2,11.0,3,7,1,0,0,3,3,6,0,0,1,1,Player 2 (UCD),44.2
4,4,10.0,2,2,0,3,0,3,3,2,1,1,0,0,Player 4 (UCD),68.8
4,5,15.0,3,8,0,1,0,3,2,4,3,3,0,1,Player 5 (UCD),54.4
4,6,17.0,0,8,2,1,2,0,1,6,0,1,0,0,Player 6 (UCD),31.6
4,7,16.0,2,5,3,2,1,2,1,0,1,1,0,0,Player 7 (UCD),59.0
4,8,17.0,3,8,3,0,2,0,2,2,0,0,1,2,Player 8 (UCD),52.0
4,9,18.0,4,4,2,3,1,3,1,1,1,0,0,1,Player 9 (UCD),70.3
4,11,21.0,4,6,2,0,1,0,0,2,2,3,1,2,Player 11 (UCD),60.3
4,12,21.0,0,5,1,2,0,1,0,0,3,3,1,2,Player 12 (UCD),30.1
5,1,24.0,3,9,2,0,2,0,2,2,3,1,1,2,Player 1 (UCD),53.9
5,2,12.0,2,6,0,1,0,1,3,2,3,1,1,0,Player 2 (UCD),49.7
5,3,15.0,0,1,3,0,0,1,2,1,2,2,1,0,Player 3 (UCD),39.0
5,4,13.0,3,3,2,2,0,2,3,6,2,0,1,2,Player 4 (UCD),76.1
5,5,17.0,3,7,2,1,2,2,1,3,0,2,1,2,Player 5 (UCD),56.9
5,6,19.0,1,2,0,1,1,2,0,2,0,0,1,0,Player 6 (UCD),41.1
5,7,11.0,2,7,2,0,0,2,1,0,1,2,0,1,Player 7 (UCD),37.2
5,9,27.0,2,6,2,0,1,2,3,3,2,2,1,0,Player 9 (UCD),54.1
5,10,22.0,1,8,0,3,1,2,2,6,2,1,1,2,Player 10 (UCD),45.8
5,11,23.0,0,1,3,0,2,2,0,6,3,2,0,2,Player 11 (UCD),36.0
5,12,25.0,4,8,0,3,2,1,2,5,0,0,0,2,Player 12 (UCD),58.7
6,4,28.0,1,4,2,0,0,3,2,4,0,3,1,2,Player 4 (UCD),45.0
6,6,21.0,3,9,3,1,0,1,2,4,0,0,0,2,Player 6 (UCD),56.2
6,7,18.0,0,0,1,3,0,0,3,2,1,0,1,1,Player 7 (UCD),39.7
6,8,12.0,4,9,0,2,2,0,3,1,3,3,0,1,Player 8 (UCD),61.8
6,9,22.0,3,8,3,2,0,1,3,2,3,3,1,0,Player 9 (UCD),76.8
6,10,10.0,0,7,1,3,2,2,2,6,3,2,1,2,Player 10 (UCD),49.3
6,11,21.0,0,1,0,0,1,3,1,1,3,3,0,0,Player 11 (UCD),21.3
6,12,18.0,3,6,0,3,2,3,2,1,0,1,0,0,Player 12 (UCD),58.5
7,1,25.0,0,0,1,0,2,2,2,4,0,2,0,0,Player 1 (UCD),26.3
7,2,22.0,4,7,0,0,2,0,1,3,3,1,0,0,Player 2 (UCD),52.0
7,3,19.0,4,7,2,0,2,2,2,0,1,2,0,0,Player 3 (UCD),56.5
7,4,19.0,2,3,0,3,0,1,0,2,2,0,1,1,Player 4 (UCD),60.7
7,5,23.0,2,4,2,0,0,1,1,1,0,3,0,1,Player 5 (UCD),51.7
7,6,14.0,3,8,2,0,2,2,3,3,2,3,0,1,Player 6 (UCD),56.3
7,7,13.0,0,7,0,3,1,0,1,2,0,1,0,0,Player 7 (UCD),30.5
7,8,27.0,2,7,3,2,1,0,3,3,2,3,0,1,Player 8 (UCD),69.7
7,9,23.0,1,2,0,1,2,2,0,3,0,1,0,1,Player 9 (UCD),43.6
7,10,11.0,0,9,3,2,0,2,1,2,1,0,0,2,Player 10 (UCD),43.1
7,12,23.0,4,9,2,3,2,2,3,6,0,1,1,2,Player 12 (UCD),68.9
8,1,27.0,0,0,2,2,0,0,0,5,3,0,0,2,Player 1 (UCD),38.5
8,2,16.0,0,0,3,0,1,2,3,5,3,1,1,1,Player 2 (UCD),41.5
8,3,11.0,1,9,2,1,2,2,0,5,3,2,1,1,Player 3 (UCD),43.0
8,5,21.0,4,5,3,3,0,1,0,3,3,0,1,1,Player 5 (UCD),79.0
8,7,16.0,3,8,1,3,1,3,3,4,0,0,1,2,Player 7 (UCD),57.3
8,8,11.0,0,0,0,2,1,2,0,6,3,3,0,1,Player 8 (UCD),32.8
9,2,26.0,1,4,0,0,2,2,3,6,1,0,0,0,Player 2 (UCD),31.7
9,4,22.0,2,8,3,2,1,2,3,3,1,2,0,0,Player 4 (UCD),65.5
9,5,15.0,3,4,3,1,1,1,3,3,2,3,1,1,Player 5 (UCD),80.1
9,6,24.0,1,6,2,3,1,3,1,2,3,1,1,1,Player 6 (UCD),57.1
9,10,14.0,3,4,0,2,2,1,2,3,1,1,0,1,Player 10 (UCD),65.6
9,11,24.0,3,8,1,3,2,0,3,0,2,1,1,2,Player 11 (UCD),56.5
9,12,21.0,1,7,3,2,1,3,0,3,2,2,1,2,Player 12 (UCD),54.1
10,1,24.0,0,2,3,1,1,3,1,2,3,2,0,2,Player 1 (UCD),46.4
10,3,21.0,0,0,1,2,0,3,0,0,1,0,1,2,Player 3 (UCD),20.5
10,6,18.0,4,9,3,2,0,3,3,2,2,2,1,0,Player 6 (UCD),78.2
10,8,10.0,2,3,3,3,0,1,1,3,3,0,1,2,Player 8 (UCD),83.0
10,9,12.0,0,2,3,2,1,3,3,5,3,0,0,1,Player 9 (UCD),51.8
10,11,12.0,1,7,2,0,2,2,3,1,0,3,1,0,Player 11 (UCD),36.6
10,12,27.0,2,2,3,0,0,0,0,5,2,1,0,1,Player 12 (UCD),63.2
